episode,reward
1,11.0
2,18.0
3,10.0
4,15.0
5,20.0
6,18.0
7,17.0
8,29.0
9,14.0
10,23.0
11,20.0
12,15.0
13,11.0
14,23.0
15,26.0
16,10.0
17,11.0
18,19.0
19,26.0
20,24.0
21,82.0
22,25.0
23,29.0
24,26.0
25,42.0
26,18.0
27,25.0
28,20.0
29,30.0
30,21.0
31,24.0
32,23.0
33,16.0
34,32.0
35,11.0
36,24.0
37,13.0
38,12.0
39,19.0
40,12.0
41,20.0
42,24.0
43,17.0
44,10.0
45,23.0
46,18.0
47,15.0
48,17.0
49,12.0
50,30.0
51,21.0
52,12.0
53,19.0
54,20.0
55,33.0
56,39.0
57,42.0
58,20.0
59,69.0
60,33.0
61,27.0
62,130.0
63,18.0
64,14.0
65,9.0
66,14.0
67,17.0
68,10.0
69,12.0
70,9.0
71,11.0
72,9.0
73,19.0
74,15.0
75,27.0
76,21.0
77,23.0
78,13.0
79,34.0
80,18.0
81,13.0
82,8.0
83,15.0
84,11.0
85,14.0
86,20.0
87,8.0
88,12.0
89,26.0
90,25.0
91,18.0
92,16.0
93,40.0
94,10.0
95,26.0
96,15.0
97,8.0
98,15.0
99,9.0
100,12.0
101,15.0
102,26.0
103,13.0
104,16.0
105,22.0
106,31.0
107,16.0
108,32.0
109,29.0
110,14.0
111,20.0
112,20.0
113,9.0
114,20.0
115,20.0
116,127.0
117,95.0
118,83.0
119,81.0
120,47.0
121,102.0
122,71.0
123,111.0
124,128.0
125,105.0
126,104.0
127,166.0
128,237.0
129,142.0
130,130.0
131,128.0
132,208.0
133,155.0
134,233.0
135,145.0
136,192.0
137,207.0
138,240.0
139,225.0
140,171.0
141,248.0
142,198.0
143,335.0
144,143.0
145,166.0
146,146.0
147,155.0
148,150.0
149,143.0
150,154.0
151,149.0
152,143.0
153,150.0
154,128.0
155,138.0
156,136.0
157,145.0
158,139.0
159,133.0
160,131.0
161,125.0
162,131.0
163,122.0
164,120.0
165,127.0
166,132.0
167,130.0
168,126.0
169,136.0
170,127.0
171,119.0
172,129.0
173,109.0
174,115.0
175,114.0
176,111.0
177,114.0
178,110.0
179,115.0
180,117.0
181,118.0
182,120.0
183,117.0
184,113.0
185,132.0
186,125.0
187,126.0
188,118.0
189,120.0
190,118.0
191,125.0
192,116.0
193,126.0
194,112.0
195,121.0
196,114.0
197,116.0
198,120.0
199,116.0
200,132.0
201,106.0
202,112.0
203,117.0
204,108.0
205,107.0
206,115.0
207,103.0
208,119.0
209,123.0
210,109.0
211,120.0
212,110.0
213,108.0
214,103.0
215,106.0
216,108.0
217,108.0
218,111.0
219,114.0
220,107.0
221,123.0
222,120.0
223,116.0
224,117.0
225,115.0
226,110.0
227,115.0
228,109.0
229,105.0
230,109.0
231,113.0
232,114.0
233,116.0
234,117.0
235,121.0
236,119.0
237,123.0
238,106.0
239,118.0
240,114.0
241,116.0
242,115.0
243,114.0
244,129.0
245,125.0
246,120.0
247,130.0
248,130.0
249,127.0
250,125.0
251,128.0
252,123.0
253,120.0
254,125.0
255,128.0
256,117.0
257,127.0
258,120.0
259,123.0
260,120.0
261,124.0
262,122.0
263,121.0
264,144.0
265,137.0
266,140.0
267,148.0
268,144.0
269,161.0
270,177.0
271,146.0
272,120.0
273,138.0
274,130.0
275,183.0
276,144.0
277,161.0
278,138.0
279,141.0
280,160.0
281,138.0
282,177.0
283,148.0
284,162.0
285,300.0
286,178.0
287,209.0
288,163.0
289,192.0
290,148.0
291,154.0
292,177.0
293,158.0
294,138.0
295,144.0
296,132.0
297,123.0
298,120.0
299,136.0
300,143.0
301,136.0
302,121.0
303,117.0
304,41.0
305,123.0
306,125.0
307,10.0
308,121.0
309,131.0
310,124.0
311,127.0
312,136.0
313,139.0
314,142.0
315,136.0
316,140.0
317,124.0
318,130.0
319,137.0
320,151.0
321,147.0
322,157.0
323,154.0
324,149.0
325,149.0
326,167.0
327,167.0
328,136.0
329,141.0
330,183.0
331,202.0
332,210.0
333,175.0
334,174.0
335,156.0
336,134.0
337,140.0
338,134.0
339,151.0
340,142.0
341,138.0
342,139.0
343,138.0
344,135.0
345,133.0
346,150.0
347,145.0
348,181.0
349,146.0
350,144.0
351,163.0
352,154.0
353,156.0
354,142.0
355,146.0
356,158.0
357,154.0
358,147.0
359,148.0
360,30.0
361,155.0
362,144.0
363,194.0
364,173.0
365,244.0
366,150.0
367,126.0
368,184.0
369,268.0
370,170.0
371,209.0
372,140.0
373,157.0
374,125.0
375,165.0
376,133.0
377,168.0
378,179.0
379,144.0
380,136.0
381,172.0
382,134.0
383,115.0
384,125.0
385,188.0
386,129.0
387,128.0
388,44.0
389,134.0
390,134.0
391,130.0
392,142.0
393,231.0
394,155.0
395,172.0
396,324.0
397,221.0
398,142.0
399,204.0
400,148.0
